site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M9246,SLST,Laḫitu,PN: {lú.uru}la-ḫi-ta-a-a;{lú.uru}la-it-ta-a-',vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,208,Mentioned in URUK Text,,,"lú, uru",Iso639-3.sil.org/code/sem,,***,,,,"See ""La'etu"" (ZadokGeographicalNamesAccording1985, 207); may be tribal fields near Uruk",,,,,,,,IQ,,
M9576,SMHR,Maḫrā,{uru}maḫ-ra-a-',vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,217,Not far from URUK,Probable,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M1384,SMRD,Mar(a)da,{uru}ma-ra-ad; {lú}GAR-UMUŠ ša {uru}m[a-rad](?); {uru}már-da{ki}; már-da{ki}; {d}lugal-már-da šá má[r-da{ki}]; é-igi-kalam-ma É-{d}lugal-már-da ša már-da{ki}; é-igi-kalam-ma É-su ša qé-re-eb már-da{ki}; DINGIR{meš} šá már-da{ki}; {lú}GAR-UMUŠ-ú-ti šá már-da{ki}; {lú}GÍR.LÁ-u-tu šá É-pa-pa-ḫu {d}lugal-már-da{ki} ù DINGIR{meš} már-da{ki}; {lú}már-da{ki}; PN {uru}már-da-ú-a; {d}lugal-már-da; {m}a-šib-már-da{ki}; {md}lugal-már-da-tu-kul-tu{4},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,220,"44.7833 E, 32.0833 N",,,uru; lú; ki; d; meš; m,Iso639-3.sil.org/code/sux,,***,,,Tell-as-Sadum; Tell Wannat-es-Sadum; بتل وناط السدوم,,,,,,,,,IQ,,
M9379,SMSK,Maškanu,{uru}maš-ka-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,223,Not far from URUK,Possible,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M7513,SNGR,Nagarāja,{uru}na-gar-a-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,232,Not far from URUK,,,uru,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,***,,,,,In LOC-1,M4029,,,,,,IQ,,
M7980,SNHL,Naḫal,{kur}na-ḫal; {uru}na-ḫal; {uru}na-ḫal-la; {uru}na-ḫal-lu{4}; {uru}[na-ḫal-] (?)-lu; {[ga]rim}na-ḫal NI.GA-{d}GAŠAN šá UN[U{ki} u] {d}na-na-a; {[gari]m}na-ḫal ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; A.ŠÀ šá {garim}na-ḫal; {garim}na-ḫal-lu{4}; [..] na-[ḫal]-lu{4}; {lú}na-ḫal,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,233,URUK Region,,,kur; uru; garim; d; ki,Iso639-3.sil.org/code/sem,,***,,,,See M7395,In basin of LOC-1,M1853,,,,,,IQ,,
M9537,GNHB,Naḫbūtu,{uru}na-aḫ(!) (UNCLEAR)-bu-tú; {garim}na-aḫ-bu-tu; {garim}na-aḫ-bu-ut-tu{4},,,ZadokGeographicalNamesAccording1985,233,Not far from URUK,Probable,,uru; garim; ,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M8130,GNMZ,Namzû,{garim}nam-zu-ú,,,ZadokGeographicalNamesAccording1985,234,East of URUK,,,garim,Iso639-3.sil.org/code/akk,,***,,,,Possibly Identical to M9773 and M9730  ,East Bank of LOC-1,M1853,,,,,,IQ,,
M6991,SNRS,Nāru-Eššu,{[u]ru}I{7} eš-šú NÌ.GA [{d}GAŠA]N šá UNU{ki} u {d}na-na-a; {uru}I{7} eš-šú; A.ŠÀ šá I{7} eš-šú NÌ.GA šá {d}GAŠAN šá UNU{ki} u {d}na-na-a; I{7} eš-šú ši-i-ḫu šá šá {d}GAŠAN šá UNU{ki}; I{7} eš-šú,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,235,URUK Region,,Nar(u),uru; d; ki; ,Iso639-3.sil.org/code/akk,,Eššu,Appellative,,,"Multiple Iterations; In ZadokNewDocumentsUruk2020, LOC-1 is M8814",On LOC-1; Mentioned after LOC-2,M4884,,M9313,,,,IQ,,
M9938,SNSB,Naṣībāta,{uru}na-ṣi-ba-a-ta ši-i-ḫu šá šá {d}GAŠAN šá UNU{ki}; {lú}áš-šá-bé-e šá {uru}na-ṣi-ba-a-ta; {uru}na-ṣi-ba-a-ta; {uru}na-ṣi-ba-a-ti; {garim}na-ṣi-ba-a-tú,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,235,URUK Region,,,uru; d; ki; lú; garim,Iso639-3.sil.org/code/sem,,***,,,,"On ""Middle Course"" of LOC-1",On LOC-1,M3449,,,,,,IQ,,
M8809,SBAB,Babylon,Bābili,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat300008389,ZadokGeographicalNamesAccording1985,,***,,,***,Iso639-3.sil.org/code/sux,,***,,,Babylon; بابل,"ZadokGeographicalNamesAccording1985 pp. 39-58; 32.5350 N, 44.4259 E",,,,,,,,IQ,200,893951
M6724,SBOR,Borsippa,Barsip,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat300008389,***,,***,,,***,Iso639-3.sil.org/code/sux,,***,,,Birs Nimrud; بورسيبا,"ZadokGeographicalNamesAccording1985 pp. 65-70; 32.3924 N, 44.3434 E",,,,,,,,IQ,83,893964
M5688,SURI,Ur,Uri,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat300008389,***,,***,,,***,Iso639-3.sil.org/code/sux,,***,,,Tell Muqayyar; تل ٱلْمُقَيَّر,"ZadokGeographicalNamesAccording1985 pp. 321-323; 30.9611 N, 46.1054 E",,,,,,,,IQ,21,912985
M4746,SLAR,Larsa,Larsa,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat300008389,***,,22 km ESE from URUK,,,***,Iso639-3.sil.org/code/sux,,***,,,Tell as Sanakarah; Tulul Sinkara; تل السنك,"ZadokGeographicalNamesAccording1985 pp. 210-211; 31.2832 N, 45.8550 E ",,,,,,,,IQ,168,912897
M4628,SNIP,Nippur,Nippur (Nipar),vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat300008389,***,,***,,,***,Iso639-3.sil.org/code/sux,,***,,,Nufar; نفر,"ZadokGeographicalNamesAccording1985 pp. 239-242; 32.1272 N, 45.2300 E",,,,,,,,IQ,22,912910
M4838,SSIP,Sippar,various,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat300008389,***,,***,,,***,Iso639-3.sil.org/code/sux,,***,,,Tell ed-Der;   تل الدير,"33.0992 N, 44.2992 E; Refers to Sippar-Amnanum",,,,,,,,IQ,2,392373882
M9773,NZQL,Nazzû-qallu,naz-zu-ú qal-la,,,ZadokGeographicalNamesAccording1985,236,Near URUK,,,***,Iso639-3.sil.org/code/akk,,***,,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M9730,NZRB,Nazzû-rabû,naz-zu-ú GAL{ú},,,ZadokGeographicalNamesAccording1985,236,Near URUK,,,ú,Iso639-3.sil.org/code/akk,,***,,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M9425,NXXT,Na[ ]tu,na-[x]-[x-x]-tu,,,ZadokGeographicalNamesAccording1985,236,Not far from URUK,Probable,,***,***,,***,,,,,,M4029,,,,,,IQ,,
M9693,NBRD,Nēberu-ša-Dûri,né-bé-ri šá BÀD,,,ZadokGeographicalNamesAccording1985,237,Not far from URUK,Perhaps,,***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,,,,,,,,,IQ,,
M9858,GNUH,Nuḫšānītu,{garim}nu-uḫ-šá-ni-ti,,,ZadokGeographicalNamesAccording1985,244,Near URUK,,,garim,Iso639-3.sil.org/code/akk,,***,,,,Multiple Iterations,In LOC-1,M4029,Possible,,,,,IQ,,
M9571,SNUN,Nūnu,{uru}nu-ú-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,244,Near URUK,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M9179,GNUN,Nūnū,{garim}nu-nu-ú,,,ZadokGeographicalNamesAccording1985,244,Near URUK,,,garim,Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M1626,GQDM,Qadiminnu,{garim}qa-ad-im-in!-nu NAM ŠEŠ.UNU{ki},,,ZadokGeographicalNamesAccording1985,253,***,,,garim; ki,Iso639-3.sil.org/code/sem,,***,,,,,On LOC-1; in Region of LOC-2,M4029,,M5688,,,,IQ,,
M1737,GRQB,Raqqānu,{garim}raq-qa-nu,,,ZadokGeographicalNamesAccording1985,258,North of URUK,Probable,,garim,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M7433,SDLB,Dilbat,Dilbat,vocab.getty.edu/page/aat/300008347,vocab.getty.edu/page/aat300008389,ZadokGeographicalNamesAccording1985,,***,,,***,Iso639-3.sil.org/code/sux,,***,,,Deilam;  تل الدليم ,"ZadokGeographicalNamesAccording1985 pp. 118-119; 32.2962 N, 44.4668 E",,,,,,,,IQ,253,893987
M1002,SRGT,Raqqat,{uru(?)}ra-aq-qa-at,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,258,Not far from URUK,Possible,,uru,Iso639-3.sil.org/code/akk,,***,,,,"""Uruk"" marked with ""?""; Bagg 2020: Walled City",In LOC-1,M9539,,,,,,IQ,,
M2565,GRAT,Rāṭu,{uru}ra-a-ṭu; {garim}ra-a-ṭu; ra-a-ṭu,,,ZadokGeographicalNamesAccording1985,260,URUK Region,,,uru; garim,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,,Not far from LOC-1 ,M9883,,,,,,IQ,,
M8291,GRUD,Rudāja,{garim}ru-da-a-a; ru-da-a-a; ru-da-a,,,ZadokGeographicalNamesAccording1985,262,S/W Section of URUK,,,garim,Iso639-3.sil.org/code/sem,,***,,,,"Multiple Iterations, both in URUK; second iteration irrigated by M4874",On LOC-1; Borders LOC-2,M4874,,M8964,,,,IQ,,
M1773,GRBN,Rudāja-ša-Bīt-Nabû,{garim}ru-da-a-a šá É-{d}PA,,,ZadokGeographicalNamesAccording1985,262,Near URUK,,,garim; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M1095,GRUQ,Rūqu,qaq-qar la-pa-ni {garim}ru-ú (?)-qu,,,ZadokGeographicalNamesAccording1985,263,Not far from URUK,Possible,,garim,Iso639-3.sil.org/code/sem,,***,,,,,,M4029,,,,,,IQ,,
M1104,GSRM,Serrēmu,{garim}ANŠE.EDEN.NA; ANŠE.EDEN.NA,,,ZadokGeographicalNamesAccording1985,266,URUK Region,,,garim,Iso639-3.sil.org/code/akk,,***,,,,,"On LOC-1, LOC-2; Near LOC-3",M4029,,M4874,M2565,,,IQ,,
M1225,SSKT,Sikte,{uru}sik-te(?),vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,267,Mentioned in URUK Text,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,M4029,,,,,,IQ,,
M7555,GSUM,Sumandar,{kur}sum-man-dar; {kur.su}sumun.dar; {uru}su-man-dar; {garim}su-man-dar; GARIM{meš} šá su-man-dar; sum-man-dar; {lú}EN.NAM šá su-ma-an-da-ar; {uru}su-um-an-da-ar; [{kur}su]-(?)-ma-an-[dar],vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,275,URUK Region,,,kur; su; uru; garim; meš; lú,Iso639-3.sil.org/code/sux,,***,,,,Multiple Iterations; Spans from LOC-1 and LOC-2 TO LOC-3,"Borders LOC-1, LOC-2, LOC-3",M6967,,M9313,M4015,,,IQ,,
M1651,SSRN,Sūrānu,{uru}su-ra-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,276,Not far from URUK,Probable,,uru,Iso639-3.sil.org/code/sem,,***,,,,Multiple Iterations,,,,,,,,IQ,,
M1387,SSAX,Ṣa,{uru}ṣa,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,278,Mentioned in URUK Text,,,uru,Iso639-3.sil.org/code/sem,Possible,***,,,,,,,,,,,,IQ,,
M2809,SSDT,Šadatu,{uru}šá-da-tú,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,282,Mentioned in URUK Text,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M1102,MSLB,Šalabu,mi-ṣir-šá šá-la-bu,,,ZadokGeographicalNamesAccording1985,284,Near URUK,Possible,,***,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M5926,WIST,Nār-Ištar,KÁ-I{7}-{d}XV,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,373,URUK Region,,Nar(u),d,Iso639-3.sil.org/code/akk,,Ištar,Divine,,,Multiple Iterations,,,,,,,,IQ,,
M2769,SSNP,Šanāpu,{uru}šá-na-a-pu; {uru}šá-na-pu; {uru}šá-na-pi,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,286,North of URUK,,,uru,Iso639-3.sil.org/code/sem,,***,,,,"LOC-2 is RIGHT Bank; ZadokGeographicalNamesAccording1985 carries no main entry for ""Bīt-Nabû-bān-aḫi"" (LOC-4)","In LOC-1; Bank of LOC-2; Between LOC-3, LOC-4",M5454,,M1853,M3677,See NOTES,,IQ,,
M2812,SPPJ,Šappāja,šap-pa-a-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,287,Near URUK,Possible,,***,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M1920,SAID,Àlu-ša-Izkur-dān,URU šá iz-kur-da-an,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,12,Mentioned in URUK Text,,Àlu,***,Iso639-3.sil.org/code/akk,,Izkur-Dān,Personal,,,,,,,,,,,IQ,,
M2197,SSRB,Šarrabānu,{uru}šar-ra-a-ba-nu; {uru}šar-ra-[ba-]nu; {uru}[šar-ra-ba-nu-ú-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,289,Not far from URUK,Possible,,uru,Iso639-3.sil.org/code/sem,,***,,,,Multiple Iterations,,,,,,,,IQ,,
M1405,GSMT,Šiḫmūti,{garim}ši-iḫ(?!)-mu-ti,,,ZadokGeographicalNamesAccording1985,293,URUK Region,Possible,,garim,Iso639-3.sil.org/code/sem,,***,,,,,"Mentioned between LOC-1, LOC-2",M5144,,M6517,,,,IQ,,
M2217,SSIH,Šīḫu,{uru}ši-i-ḫu; {garim}ši-i-ḫu šá {d}GAŠAN šá UNU{ki} ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,293,Not far from URUK,Probable,Šīḫu,uru; garim; d; ki,Iso639-3.sil.org/code/sem,,***,,,,"Multiple Iterations; also listed as ""Near Uruk""",,,,,,,,IQ,,
M2595,SLBJ,Labaṣi-ša-Bīt-Ja[ ],{uru}la-ba-ṣi šá É-{m}ia-x-[...],vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,206,***,,,uru; m,***,,***,,,,,"In LOC-1, near LOC-2; by LOC-3",M5454,,M6213,M3174,M2892,,IQ,,
M9539,BJKN,Bīt-Jakīn(i),É-{m}ia-a-ki-i-ni; É-{m}ia-a-ki-ni; É-ia-'-ki-nu; É-ia-ki-ni; É-{m}ia-a-k[in{7}]; É-{m}ia--[kin]; {lú}É-ia-kin{7}; […] šá É-ia-kin{7}; NUMUN šá É-{m}ia-ki-nu; É-{m}ia{4}-kin{7}; DUMU-{m}ia-ki-ni; DUMU-{m}ia-kin{7}; […] šá DUMU-{m}ia-kin{7}; DUMU-{m}ia-ki-na; DUMU-{m}ia-ki-nu; DUMU-{m}ia-k[i-na-/ni/nu]; DUMU-{m}ia-[...]; DUMU-{m'}i[a-...]; DUMU{meš] šá {m}ia-[...]; [...]-{m}ia-ki-[na/ni/nu]; [...]-ia-kin{7}  ,vocab.getty.edu/page/aat/300261086,vocab.getty.edu/page/aat/300135982,ZadokGeographicalNamesAccording1985,93,***,,Bit,m; lú; meš,Iso639-3.sil.org/code/sem,,Jakin,Personal,,,,In LOC-1,M2668,,,,,,IQ,,
M1609,GHSJ,Ḫamar-ša-Jalliqa,{garim}ḫa-mar šá {m}ia-al-li-qa,,,ZadokGeographicalNamesAccording1985,149,Not far from URUK,Probable,,garim; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Jalliqa,Personal,,,,On LOC-1,M1853,Probable,,,,,IQ,,
M6144,SSLH,Šiliḫtu,{uru}ši-li-iḫ-tu{4} NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a; {uru}ši-li-iḫ-ti(?); ši-liḫ-tu{4},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,294,URUK Region,,Šiliḫtu,uru; d; ki,Iso639-3.sil.org/code/sem,,***,,,,,Near LOC-1,M4029,Possible,,,,,IQ,,
M3190,SSNG,Šingu,{uru}ši-in-gu qaq(!)-qar šá {d}GAŠAN šá UNU{ki}; {uru}ši-in-gu ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {uru}ši-in-gu; {uru}šin-gu; {garim}ši-in-gu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,294,Not far from URUK,,,uru; d; ki,***,,***,,,,Non-Semitic Name,In LOC-1,M4029,Possible,,,,,IQ,,
M4748,SSPK,Šubat-parakki,{uru}DURUN-BÁRA; DURUN-BÁRA,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,295,Not far from URUK,,,uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,***,,,,,In LOC-1,M4029,,,,,,IQ,,
M2872,GTGB,Tagabti,{garim}ta{5}-gab-ti,,,ZadokGeographicalNamesAccording1985,301,Not far from URUK,Probable,,garim,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M2580,STAJ,Taḫi,{uru}ta(!)-ḫi,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,302,Not far from URUK,Possible,,uru,Iso639-3.sil.org/code/sem,Possible,***,,,,Accessible by boat,,,,,,,,IQ,,
M1415,GTHT,Taḫūṭā,{uru}ta-ḫu-ṭa-'; {garim}ta-ḫu-ṭa-a; {lú}ENGAR [šá {ga]rim}ta-ḫu-ṭa-a; {garim}ta-ḫ[u-ṭa-a] ši-i-ḫu šá {d}GAŠAN šá UN[U{ki}]; {garim}ta-ḫu-ṭa-' ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {garim}}ta-ḫu-ṭ[a(?)-a/'] (?),vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,302,Not far from URUK,Possible,,uru; garim; lú; d; ki,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M4719,SAJQ,Àlu-ša-Jaqi'-il,URU šá {m}ia-a-qí-'-ìl; URU šá {m}i-qí-'-ìl,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,13,Not far from URUK,Probably,Àlu,m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Jaqi'-Il,Personal,,,,,,,,,,,IQ,,
M9816,CDSJ,Dūru-ša-Jatiru,BÀD šá {m}ia-ti-ru; {uru}BÀD šá i-ti-ri; {uru}BÀD-i-ti-ri; BÀD-e-te-ru,vocab.getty.edu/page/aat/300004790,,ZadokGeographicalNamesAccording1985,126,URUK Region,,Dur,m; uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Jatiru,Personal,,,,Near LOC-1; Mentioned with LOC-2,M6144,Possible,M7614,,,,IQ,,
M1501,GSHJ,Šīḫu-Jau[ ],{garim}ši-i-ḫu ia-ú-[…],,,ZadokGeographicalNamesAccording1985,293,Not far from URUK,Probable,Šīḫu,garim,Iso639-3.sil.org/code/sem,,Jau[ ],*unclear*,,,,,,,,,,,IQ,,
M5080,WHKL,Ḫarru-ša-Kalbati,ÍD ḫar-ri šá {f}kal-ba-ti,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,145-146,In URUK,,Ḫarru,f,Iso639-3.sil.org/code/akk,Possible,Kalbati,*unclear*,,,,Near LOC-1,M8291,,,,,,IQ,,
M5836,GTMD,Tamūdā,{garim}ta-mu-da-',,,ZadokGeographicalNamesAccording1985,306,Near URUK,Possible,,garim,Iso639-3.sil.org/code/sem,,***,,,,,,,,,,,,IQ,,
M4960,GTUT,Ta'ūti,{garim}ta-'-ú-ti,,,ZadokGeographicalNamesAccording1985,307,Not far from URUK,Possible,,garim,Iso639-3.sil.org/code/sem,Possible,***,,,,,"Mentioned with LOC-1, LOC-2",M3295,,M3097,,,,IQ,,
M8122,WKNS,Nār-Kanisurra,KI{tì} I{7}-{d}ka-ni-sur-ra šá qé-reb UNU{ki},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,373,In URUK,,Nar(u),tì; d; ki,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Kanisurra,Divine,,,,,,,,,,,IQ,,
M5236,WHKN,Ḫarru-ša-Kanišurra,ÍD ḫar-ri ša {d}Ka-ni-sur-ra šá qé-reb UNU[G.KI],vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,146,In URUK,,Ḫarru,d,Iso639-3.sil.org/code/akk,,Kanišurra,Divine,,,,,,,,,,,IQ,,
M5726,SBKS,Bīt-Kāṣir,{uru}É-{m}ka-ṣir,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,94,Not far from URUK,Perhaps,Bit,uru; m,Iso639-3.sil.org/code/akk,,Kāṣir,Personal,,,,On LOC-1,M6779,Perhaps,,,,,IQ,,
M4013,SAKN,Àlu-ša-Kī-Nabû,(PN) šá URU šá {m}ki-i-{d}AG,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,13,Not far from URUK,Possibly,Àlu,m; d,Iso639-3.sil.org/code/akk,,Kī-Nabû,Personal,,,,,,,,,,,IQ,,
M5536,WHRK,Ḫarri-kibbi,{i7}ḫar-ri-ki-ib-bi; {i7}ḫar-ri-kib-bi; {i7}ḫar-ri-kib-bu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,351,URUK Region,Possible,Ḫarru,I7,Iso639-3.sil.org/code/akk,,Kibbi,Appellative,,,Parallel to OR North of LOC-1,"Near LOC-1; not far from LOC-2, LOC-3",M4874,Possible,M9300,M3174,,,IQ,,
M3239,SHKN,Ḫuṣṣēti-ša-Kidinu,{uru}ḫu-uṣ-ṣe-e-ti šá {m}ki-di-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,173,Not far from URUK,Possible,Ḫuṣṣēti,uru; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Kidinu,*unclear*,,,,,,,,,,,IQ,,
M5426,SBKN,Bīt-Kīnā,KI{tì} É-{m}ki-na-a šá NAM É-{m}da-k[u-ru] ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,94,Not far from URUK,Probable,Bit,tì; m,Iso639-3.sil.org/code/sem,,Kīnā,Personal,,,Multiple Iterations; Uruk Iteration Includes M6967,In LOC-1; On LOC-2,M5454,,M6010,,,,IQ,,
M3566,SHKX,Ḫuṣṣēti-Kīna (?),{uru}ḫu-uṣ-ṣe-e-tú-GI.IN.NA AŠ UGU I{7}-{d}XXX-ma-dar ,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,170,***,,Ḫuṣṣēti,uru; d,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Kīnā,Personal,,,,On LOC-1,M7113,,,,,,IQ,,
M2842,SAKZ,Àlu-ša-kizû,URU šá {lú}ki-zu-ú{meš},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,13,Not far from URUK,,Àlu,lú; meš,Iso639-3.sil.org/code/akk,,Kizû,*unclear*,,,,In LOC-1,M4029,,,,,,IQ,,
M3812,SNKR,Bīt-Kur(?)kana,{uru}É-{m}kur(?)-ka-na,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,95,Near URUK,Possible,Bit,uru; m,Iso639-3.sil.org/code/sem,Possible,Kurkana,Personal,,,,,,,,,,,IQ,,
M5840,STUR,Ṭūrānu,{uru}ṭu-ra-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,316,Not far from URUK,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1,M4029,,,,,,IQ,,
M3229,SUKL,Ukal[ ],{uru}ú-kal-x-[...],vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,319,Not far from URUK,Possible,,uru,***,,***,,,,,,,,,,,,IQ,,
M6486,SBKZ,Bīt-Kuzba-ili,{uru}É-ku-uz-ba-a-DINGER,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,95,Not far from URUK,Probable,Bit,uru,Iso639-3.sil.org/code/akk,,Kuzba-Ili,Personal,,,,,,,,,,,IQ,,
M7377,WKZB,Nār-Kuzbānītu,I{7}-ku-uz-ba-ni-i-tu{4},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,375,Mentioned in URUK Text,,Nar(u),***,Iso639-3.sil.org/code/akk,,Kuzbānītu,Personal,,,,,,,,,,,IQ,,
M1022,WHRT,Ḫarrātu,{I7}ḫar-ra-tu{4},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,350,Near URUK,Probable,,I7,Iso639-3.sil.org/code/akk,,***,,,,,Tributary of LOC-1; Borders LOC-2 ,M4874,Probable,M1022,,,,IQ,,
M2457,WLBS,Ḫarru-ša-Lâbâši,{i7}ḫar-ri šá {m}la-ba-ši šá NAM UNU{ki}; {i7}ḫar-ri šá {m}la-ba-ši; {i7}ḫar-ri šá {m}la-a-ba-ši; ḫar-ri šá {m}la-ba-ši; ḫar-ri šá {m}la-a-ba-ši; {i7}ḫar-ri […],vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,356,Near URUK,,Ḫarru,I7; m; ki; ,Iso639-3.sil.org/code/akk,,Lâbâši,Personal,,,,Along LOC-1,M8964,Probable,,,,,IQ,,
M2802,WBSL,Bitqu-ša-Lābāši,A.ŠÀ šá {i7}bit-qu šá {m}la-ba-š[i] NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,349,URUK Region,Possible,Bitqu,I7; m; d; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/arc,,Lâbâši,Personal,,,,Not far from LOC-1 ,M9965,Possible,,,,,IQ,,
