site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M5701,SASS,Àlu-ša-šasi'ūa,URU šá {lú}šá-si-ú-a,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,20,URUK Region,Perhaps,Àlu,lú,Iso639-3.sil.org/code/akk,,Šasi'ūa,Appellative,,,,Not far from LOC-1,M7248,Possible,,,,,IQ,,
M7872,WSTM,Nāru-ša-šatammi ,ÍD-šá-{lú}ŠÀ.TAM ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,164,URUK Region,,Nar(u),lú,Iso639-3.sil.org/code/akk,Possible,Šatammi ,*unclear*,,,,,,,,,,,IQ,,
M7004,GTSA,Tamertu-ša-Ṣēr-Antu,GARIM šá EDEN-an-tu{4}; {garim}EDEN-an-[tu{4}]; […]-an-tu{4},,,ZadokGeographicalNamesAccording1985,305,Near URUK,,Tamertu,garim,Iso639-3.sil.org/code/akk,,Ṣēr-Antu,Place,,,,,M4029,,,,,,IQ,,
M5922,WSQR,Nār-Ṣigirtu ,ÍD-ṣi-gir-ti,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,159,URUK Region,,Nar(u),***,Iso639-3.sil.org/code/akk,Possible,Ṣigirtu,*unclear*,,,,,,,,,,,IQ,,
M8893,WNSB,Nāru-ša-Silim-Bēl,I{7} šá si-lim-{d}EN GÚ {i7}tak-ki-ri; I{7} šá si-lim-{d}EN GÚ {i7}tak-kìr,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,393,URUK Region,,Nar(u),d; i7,Iso639-3.sil.org/code/akk,,Silim-Bēl,Personal,,,,"Tributary of LOC-1; Parallel to LOC-2, LOC-3",M4874,,M7509,M9634,,,IQ,,
M9399,WNSN,Nār-Sîn,I{7}-{d}XXX; mu-šá-ni-tu{4} šá I{7}-{d}XXX; PNs,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,381-382,***,,Nar(u),d,Iso639-3.sil.org/code/akk,Possible,Sîn,Divine,,,Multiple Iterations; East-West Direction,LOC-1 Region; Not far from LOC-2,M4628,,M5688,,,,IQ,,
M4102,GSBS,Šīḫu-ša-Bīt-Sîn-iškun,ši-i-ḫu šá É-{md}XXX-GAR A DUB.[SAR(?) (šá(?))] {d}GAŠAN šá UNU{ki} ,,,ZadokGeographicalNamesAccording1985,293,Not far from URUK,Probable,Šīḫu,m; d; ki,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Sîn-iškun,Personal,,,,,,,,,,,IQ,,
M3147,GTSS,Tamertu-ša-sīsē,GARIM šá ANŠE.KUR.RA{meš},,,ZadokGeographicalNamesAccording1985,305,Near URUK,,Tamertu,meš,Iso639-3.sil.org/code/akk,,Sīsē,Appellative,,,,In LOC-1,M4029,Possible,,,,,IQ,,
M7324,WHSZ,Ḫiltu-ša-šizbāni (?),{i7}ḫi-il-tu{4} šá {ú}GA{meš}; {i7}ḫi-il-tu{4} šá UNCLEAR,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,360,Not far from URUK,Possible,Ḫiltu,ú; meš,Iso639-3.sil.org/code/akk,Possible,Šizbāni,Appellative,,,LEFT Bank of LOC-1,Bank of LOC-1; in LOC-2 ,M1853,Possible,M4029,,,,IQ,,
M7558,TSUL,Til-Šūlā,{garim}DU{6}-{m}šu-la-a; DU{6}-{m}šu-la-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,313,Near URUK,,Til,garim; m,Iso639-3.sil.org/code/sem,,Šūlā,Personal,,,,,M4029,,,,,,IQ,,
